Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"DC Motor RS775 Spindle motor 12V with driver","router",1,41.09,"https://www.aliexpress.com/item/1005005719789481.html?pdp_ext_f=%7B""order""%3A""77""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D","Aliexpress"
"t8 leadscrew nut 4pc","connects carriage to leadscrew",1,5.62,"https://www.aliexpress.com/item/1005007188421437.html?aem_p4p_detail=202606010645565259910943250180003872754&pdp_ext_f=%7B""order""%3A""180""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&search_p4p_id=202606010645565259910943250180003872754_1","aliexpress"
"5pc endstops","stops the carriage from moving too far",1,4.77,"https://www.aliexpress.com/item/1005008178660096.html?pdp_ext_f=%7B""order""%3A""125""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D","Aliexpress"
"t8 Leadscrews 250mm","Leadscrews",1,11.82,"https://www.aliexpress.com/item/1005010726899970.html?mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.08%21EUR%204.68%21%21EUR%204.58%21%21%21%400b88ab7917803206163526940e11a2%2112000053328707185%21ct%21IE%212650473942%21%212%210%21","Aliexpress"
"t8 Leadscrew 100mm","Leadscrew",1,3.70,"https://www.aliexpress.com/item/1005010726899970.html?mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.18%21EUR%202.95%21%21EUR%202.89%21%21%21%400b88ab7917803206163526940e11a2%2112000053328707182%21ct%21IE%212650473942%21%211%210%21","Aliexpress"
"Leadscrew Clamps","connects the motor to the leadscrews",1,7.93,"https://www.aliexpress.com/item/1005007820393080.html?mp=1&pdp_npi=6%40dis%21EUR%21EUR%206.81%21EUR%206.81%21%21EUR%206.81%21%21%21%400b88ab7917803206163526940e11a2%2112000042324936325%21ct%21IE%212650473942%21%211%210%21","Aliexpress"
"Linear Bearings","Moves long the smooth rods",1,6.45,"https://www.aliexpress.com/item/1005004108098706.html?mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.54%21EUR%205.37%21%21EUR%205.37%21%21%21%400b5e1a3817803199448123969e1126%2112000028059680070%21ct%21IE%212650473942%21%211%210%21","Aliexpress"
"8mm Ball Bearings 10pc","Lets the leadscrews rotate",1,2.11,"https://www.aliexpress.com/item/1005011548989882.html?mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.81%21EUR%201.60%21%21EUR%201.52%21%21%21%400b5e1a3817803199448123969e1126%2112000055889049745%21ct%21IE%212650473942%21%211%210%21","Aliexpress"
"Stepper Motor/Shield Kit","Moves the actual axis carriage",1,59.54,"https://www.aliexpress.com/item/1005004698792964.html?gps-id=pcDetailTopMoreOtherSeller&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A8f939147-86d2-4f68-b01e-87f3e15877cc%2Ctpp_buckets%3A668%232846%238114%231999&pdp_ext_f=%7B""order""%3A""354""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D","Aliexpress"
"150mm/8mm Smooth Rods","linear shafts for each axis",1,9.28,"https://www.aliexpress.com/item/1005006293171727.html?mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.99%21EUR%203.99%21%21EUR%203.58%21%21%21%400b5e1a3817803199380413852e1126%2112000036638889705%21ct%21IE%212650473942%21%212%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Aliexpress"
"300mm/8mm smooth rod","linear shafts for each axis",1,32.52,"https://www.aliexpress.com/item/1005006293171727.html?mp=1&pdp_ext_f=%7B""cart2PdpParams""%3A%7B""pdpBusinessMode""%3A""retail""%7D%7D","Aliexpress"
"2020 Extrusion 4pc","To hold the base",1,19.05,"https://www.aliexpress.com/item/1005003299342998.html?pdp_ext_f=%7B""order""%3A""405""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D","Aliexpress"
